time, cpu%, mem%
16:35:52,68.3,7.4
16:35:53,58.0,7.4
16:35:54,52.0,7.4
16:35:55,79.2,7.5
16:35:56,54.0,7.6
16:35:57,54.5,7.6
16:35:58,55.0,7.7
16:35:59,49.0,7.8
16:36:00,46.5,7.9
16:36:01,46.0,8.0
16:36:02,42.6,8.0
16:36:03,47.0,8.2
16:36:04,40.0,8.3
16:36:05,54.5,8.3
16:36:06,47.0,8.5
16:36:07,45.5,8.6
16:36:08,48.0,8.8
16:36:09,45.0,8.9
16:36:10,54.5,9.0
16:36:11,44.0,9.1
16:36:12,73.0,9.2
16:36:13,40.6,9.3
16:36:14,59.4,9.4
16:36:15,48.0,9.5
16:36:16,41.0,9.7
16:36:17,44.6,9.8
16:36:18,28.0,9.9
16:36:19,40.0,10.0
16:36:20,51.5,10.1
16:36:21,46.0,10.3
16:36:22,45.5,10.4
16:36:23,44.0,10.5
16:36:24,46.5,10.6
16:36:25,41.0,10.9
16:36:26,47.5,11.0
16:36:27,48.0,11.2
16:36:28,47.0,11.5
16:36:29,45.5,11.6
16:36:30,45.0,12.0
16:36:31,59.4,12.0
16:36:32,46.0,12.1
16:36:33,47.0,12.1
16:36:34,45.5,12.3
16:36:35,60.0,12.6
16:36:36,46.5,12.7
16:36:37,46.0,13.1
16:36:38,43.6,13.1
16:36:39,49.0,13.3
16:36:40,45.0,13.6
16:36:41,49.5,13.7
16:36:42,45.0,13.8
16:36:43,50.0,14.1
16:36:44,52.5,14.2
16:36:45,47.0,14.3
16:36:46,41.6,14.6
16:36:47,31.0,14.7
16:36:48,38.0,14.8
16:36:49,45.5,15.2
16:36:50,55.0,15.2
16:36:51,46.5,15.4
16:36:52,47.0,15.7
16:36:53,45.5,15.8
16:36:54,42.0,15.8
16:36:55,48.0,15.8
16:36:56,47.5,16.2
16:36:57,57.0,16.3
16:36:58,46.0,16.4
16:36:59,45.5,16.7
16:37:00,45.0,16.8
16:37:01,43.6,16.9
16:37:02,48.0,17.3
16:37:03,59.0,17.3
16:37:04,45.5,17.4
16:37:05,47.0,17.8
16:37:06,52.5,17.9
16:37:07,46.0,18.0
16:37:08,52.0,18.4
16:37:09,46.5,18.5
16:37:10,46.0,18.9
16:37:11,46.0,18.9
16:37:12,46.5,19.0
16:37:13,43.0,19.4
16:37:14,52.5,19.4
16:37:15,47.0,19.5
