time, cpu%, mem%
16:35:52,43.8,6.1
16:35:53,45.0,6.2
16:35:54,27.7,6.2
16:35:55,24.0,6.3
16:35:56,40.0,6.4
16:35:57,40.6,6.5
16:35:58,47.0,6.5
16:35:59,46.0,6.8
16:36:00,51.5,7.0
16:36:01,42.0,7.0
16:36:02,51.5,7.1
16:36:03,54.0,7.2
16:36:04,50.0,7.3
16:36:05,45.1,7.3
16:36:06,50.0,7.4
16:36:07,49.0,7.4
16:36:08,50.5,7.4
16:36:09,38.0,7.5
16:36:10,48.5,7.5
16:36:11,40.0,7.6
16:36:12,41.0,7.7
16:36:13,44.6,7.7
16:36:14,43.0,7.8
16:36:15,52.5,7.8
16:36:16,46.0,7.9
16:36:17,63.0,7.9
16:36:18,61.4,8.0
16:36:19,48.0,8.0
16:36:20,52.5,8.1
16:36:21,53.0,8.2
16:36:22,44.6,8.2
16:36:23,56.0,8.4
16:36:24,50.0,8.5
16:36:25,44.6,8.5
16:36:26,47.5,8.5
16:36:27,49.0,8.6
16:36:28,47.0,8.7
16:36:30,53.5,8.8
16:36:31,40.0,8.8
16:36:32,48.0,8.9
16:36:33,49.5,9.1
16:36:34,48.0,9.2
16:36:35,45.5,9.4
16:36:36,39.0,9.5
16:36:37,50.0,9.7
16:36:38,44.6,9.7
16:36:39,47.5,9.8
16:36:40,48.0,9.8
16:36:41,46.5,9.9
16:36:42,51.0,10.1
16:36:43,40.6,10.1
16:36:44,43.0,10.2
16:36:45,52.0,10.3
16:36:46,46.5,10.4
16:36:47,73.0,10.7
16:36:48,55.4,10.9
16:36:49,51.0,11.0
16:36:50,38.0,11.0
16:36:51,48.5,11.1
16:36:52,48.0,11.1
16:36:53,49.5,11.3
16:36:54,54.0,11.4
16:36:55,50.0,11.4
16:36:56,46.5,11.5
16:36:57,40.6,11.5
16:36:58,42.0,11.5
16:36:59,49.5,11.7
16:37:00,48.0,11.8
16:37:01,49.0,11.9
16:37:02,47.5,11.9
16:37:03,44.0,11.9
16:37:04,37.6,12.0
16:37:05,50.0,12.0
16:37:06,42.0,12.1
16:37:07,46.5,12.1
16:37:08,50.0,12.2
16:37:09,42.0,12.2
16:37:10,47.5,12.3
16:37:11,45.0,12.3
16:37:12,47.5,12.3
16:37:13,52.0,12.4
16:37:14,42.0,12.5
16:37:15,38.6,12.5
16:37:16,47.5,12.6
16:37:17,49.0,12.7
16:37:18,48.5,12.7
16:37:19,42.0,12.8
16:37:20,46.0,12.9
16:37:21,49.5,12.9
16:37:22,51.0,12.9
16:37:23,51.5,13.1
16:37:24,50.0,13.2
16:37:25,40.0,13.2
16:37:26,47.5,13.2
16:37:27,47.0,13.3
16:37:28,48.5,13.4
16:37:29,49.0,13.4
16:37:30,47.0,13.5
16:37:31,33.3,13.5
16:37:32,47.0,13.6
16:37:33,47.5,13.6
16:37:34,45.0,13.7
16:37:35,47.5,13.7
16:37:36,42.0,13.8
16:37:37,43.0,13.9
16:37:38,48.5,13.9
16:37:39,53.0,13.9
16:37:40,76.2,14.0
16:37:41,56.0,14.1
16:37:42,60.0,14.1
16:37:43,27.7,14.1
16:37:44,18.0,14.1
16:37:45,20.0,14.1
16:37:46,23.8,14.2
16:37:47,44.0,14.2
16:37:48,47.5,14.2
16:37:49,18.0,14.2
16:37:50,32.0,14.2
16:37:51,49.5,14.2
16:37:52,48.0,14.2
16:37:53,39.6,14.2
16:37:54,38.0,14.2
16:37:55,49.0,14.2
16:37:56,47.5,14.2
16:37:57,44.0,14.2
16:37:58,47.5,14.2
16:37:59,34.0,14.2
16:38:00,8.0,14.2
16:38:01,34.7,14.2
16:38:02,15.0,14.2
16:38:03,44.6,14.2
16:38:04,41.0,14.2
16:38:05,16.0,14.2
16:38:06,48.5,14.2
16:38:07,47.0,14.3
16:38:08,46.5,14.3
16:38:09,49.0,14.4
16:38:10,47.6,14.4
16:38:11,43.0,14.5
16:38:12,58.0,14.6
16:38:13,48.5,14.6
16:38:14,49.0,14.6
16:38:15,31.7,14.6
16:38:16,6.0,14.6
16:38:17,8.0,14.6
16:38:18,29.7,14.6
16:38:19,16.0,14.6
16:38:20,35.6,14.6
16:38:21,48.0,14.6
16:38:22,44.0,14.6
16:38:23,48.5,14.6
16:38:24,48.0,14.6
16:38:25,45.0,14.7
16:38:26,49.5,14.8
16:38:27,45.0,14.8
16:38:28,36.6,14.8
16:38:29,12.0,14.8
16:38:30,35.0,14.8
16:38:31,4.0,14.8
16:38:32,41.0,14.9
16:38:33,14.9,15.0
16:38:34,47.0,15.0
16:38:35,42.0,15.1
16:38:36,29.7,15.1
16:38:37,49.0,15.3
16:38:38,46.5,15.4
16:38:39,49.0,15.4
16:38:40,48.0,15.5
16:38:41,47.5,15.6
16:38:42,33.0,15.6
16:38:43,10.9,15.6
16:38:44,26.0,15.6
16:38:45,22.0,15.7
16:38:46,37.6,15.7
16:38:47,17.0,15.7
