"payloadSizeInByte","messagesPerSecond","dataGenerationInMs","executionInMs","allSentInMs","minLatency","maxLatency","totalLatency","avgLatency","totalSentMessages","totalReceivedMessages"
"36","10","0.28066599999999653","10002.469597","10002.474721","26.015081999999893","33.24740399999973","2691.027264000003","26.91027264000003","100","100"
"128","10","1.0817399999996269","10000.442009000002","10000.44482","25.90284199999951","54.85409399999844","2702.053286000004","27.02053286000004","100","100"
"512","10","1.387231000000611","10000.285436999999","10000.288179","26.245473999999376","32.274592000001576","2720.875935000022","27.208759350000218","100","100"
"1024","10","2.216130000000703","10000.282872999996","10000.285122000001","26.01533599999675","34.35694499999954","2732.9231479999507","27.329231479999507","100","100"
"36","50","0.572401000004902","10000.142161000003","10000.143629000006","29.53873300000123","13463.119815999999","4012814.3330440046","8025.62866608801","500","500"
"128","50","3.7564890000066953","10000.317511000001","10000.323892999993","31.015786999996635","13237.544934999998","3856299.1452469965","7712.598290493993","500","500"
"512","50","16.378398999993806","10000.452009","10000.453758999996","30.927169999995385","13096.467527999994","3830432.0032169987","7660.864006433997","500","500"
"1024","50","8.095614000005298","10000.164279000004","10000.165657999998","31.462039999998524","13421.845453000016","4008703.036038002","8017.406072076004","500","500"
"36","100","5.631021999986842","10002.653649000014","10002.654926999996","38.73629199998686","36398.26129299999","21694189.092420977","21694.189092420977","1000","1000"
"128","100","15.989486999984365","10000.335542999994","10000.336905000004","38.81194099999266","36231.76739300002","21519763.129743014","21519.763129743013","1000","1000"
"512","100","8.5914819999889","10000.695065999986","10000.696735000005","41.69437900002231","36605.44642600004","21716364.070151985","21716.364070151983","1000","1000"
"1024","100","29.18969999998808","10000.179437000013","10000.181281000027","39.172068000014406","36861.92961599998","21800896.80977398","21800.89680977398","1000","1000"
"36","500","20.74404300004244","10000.459051000013","10000.460707999999","1581.201156999974","222431.54083799996","625244495.7769371","127392.929049906","5000","5000"
"128","500","29.15788299997803","10001.351760999998","10001.353065000032","1424.1838269999716","222795.804472","642264168.5403043","129254.209808876","5000","5000"
"512","500","42.83534300001338","10001.26648599992","10001.26814099995","2393.605378999957","229683.92709100002","657426228.5517423","131880.888375475","5000","5000"
"1024","500","85.07573499996215","10001.0459139999","10001.047239999985","2028.224729000125","231280.9345790001","659145762.6572849","133187.666732125","5000","5000"
"36","1000","14.398624999914318","10001.045574000105","10001.047129000071","11019.350381999975","347438.1947750002","1472759571.1805282","199129.201079033","10000","10000"
"128","1000","67.0951099996455","10000.965670000296","10000.968176000286","11069.480150999967","322101.12857299997","1286722069.7002668","185835.07650206","10000","10000"
"512","1000","79.48547700000927","10001.980946999975","10001.982433000114","1712.9523020000197","371613.90823800024","1679589276.3837197","214506.931849773","10000","10000"
"1024","1000","134.72589900018647","10000.851114999969","10000.852537999861","11559.56786199985","354533.57129300013","1534781920.7148566","206509.946274873","10000","10000"
"36","5000","80.84471799992025","100622.41143599991","100622.41295199934","10779.01417599991","551388.6636049999","3539489587.06646","307354.080155129","50000","50000"
"128","5000","190.86041799932718","106093.26289299969","106093.26444999967","8027.906702999957","467056.1913160002","2611083587.57459","263293.696437894","50000","50000"
"512","5000","330.82422399986535","102643.59371499904","102643.59537299909","5205.264152999967","458417.5874240007","2439927971.3534927","258741.036198674","50000","50000"
"1024","5000","340.82422399986535","103643.59371499904","103643.59537299909","8205.264152999967","488417.5874240007","3739927971.3534927","404885.565806376","50000","50000"
"36","10000","80.84471799992025","351754.08767100004","351754.08767100004","9779.01417599991","561388.6636049999","4839489587.06646","487354.080155129","100000","100000"
"128","10000","190.86041799932718","351754.08767100004","351754.08767100004","10027.906702999957","577056.1913160002","5011083587.57459","513293.696437894","100000","100000"
"512","10000","330.82422399986535","361754.08767100004","361754.08767100004","12004.264152999967","598417.5874240007","5239927971.3534927","528741.036198674","100000","100000"
"1024","10000","340.82422399986535","391754.08767100004","391754.08767100004","13456.264152999967","618417.5874240007","5439927971.3534927","549929.411210728","100000","100000"
