time,cpu %,mem %
08:53:20,99.9,4.0
08:53:21,99.9,4.0
08:53:22,98.0,5.6
08:53:23,95.0,6.0
08:53:24,92.0,6.5
08:53:25,34.7,6.6
08:53:26,37.0,6.8
08:53:27,37.6,7.0
08:53:28,28.0,7.2
08:53:29,27.0,7.2
08:53:30,26.7,7.2
08:53:31,28.0,7.2
08:53:32,25.7,7.2
08:53:33,28.0,7.3
08:53:34,29.0,7.5
08:53:35,39.6,7.7
08:53:36,28.0,7.7
08:53:37,26.7,7.8
08:53:38,27.0,8.0
08:53:39,28.0,8.1
08:53:40,26.7,8.1
08:53:41,27.0,8.1
08:53:42,27.7,8.1
08:53:43,27.0,8.1
08:53:44,29.7,8.1
08:53:45,29.0,8.1
08:53:46,26.0,8.2
08:53:47,25.7,8.2
08:53:48,27.0,8.2
08:53:49,27.0,8.2
08:53:50,26.7,8.2
08:53:51,27.0,8.2
08:53:52,28.0,8.2
08:53:53,26.7,8.2
08:53:54,29.0,8.2
08:53:55,27.0,8.2
08:53:56,27.7,8.2
08:53:57,28.0,8.3
08:53:58,24.8,8.3
08:53:59,29.0,8.3
08:54:00,27.0,8.3
08:54:01,27.7,8.3
08:54:02,28.0,8.3
08:54:03,27.7,8.3
08:54:04,34.0,8.3
08:54:05,98.0,8.6
08:54:06,98.0,8.6
08:54:07,99.0,8.6
08:54:08,97.0,8.6
08:54:09,99.9,8.7
08:54:10,91.1,8.7
08:54:11,98.0,8.7
08:54:12,99.0,8.8
08:54:13,97.0,8.9
08:54:14,99.0,8.9
08:54:15,98.0,9.5
08:54:16,97.0,9.7
08:54:17,99.9,10.2
08:54:18,97.0,10.5
08:54:19,99.0,10.5
08:54:20,99.0,10.5
08:54:21,97.0,10.5
08:54:22,98.0,10.5
08:54:23,97.0,10.5
08:54:24,98.0,10.6
08:54:25,97.0,10.6
08:54:26,98.0,10.6
08:54:27,99.0,10.6
08:54:28,98.0,10.6
08:54:29,97.0,10.6
08:54:30,99.0,10.6
08:54:31,96.0,10.6
08:54:32,99.0,10.7
08:54:33,98.0,10.7
08:54:34,98.0,10.7
08:54:35,97.0,10.8
08:54:36,98.0,10.8
08:54:37,98.0,10.8
08:54:38,99.0,11.0
08:54:39,97.0,11.0
08:54:40,92.0,11.1
08:54:41,99.0,11.2
08:54:42,97.0,11.3
08:54:43,98.0,11.3
08:54:44,98.0,11.4
08:54:45,97.0,11.4
08:54:46,98.0,11.5
08:54:47,96.0,11.5
08:54:48,98.0,11.6
08:54:49,96.0,11.6
08:54:50,99.0,11.7
08:54:51,97.0,11.7
08:54:52,96.0,11.7
08:54:53,98.0,11.7
08:54:54,97.0,11.7
08:54:55,92.1,11.7
08:54:56,98.0,11.7
08:54:57,97.0,11.7
08:54:58,97.0,11.7
08:54:59,97.0,11.7
08:55:00,93.1,11.7
08:55:01,92.0,11.7
08:55:02,98.0,11.7
08:55:03,96.0,11.8
08:55:04,98.0,11.8
08:55:06,95.0,11.8
08:55:07,97.0,11.8
08:55:08,98.0,11.8
08:55:09,97.0,11.8
08:55:10,96.0,11.8
08:55:11,90.1,11.8
08:55:12,97.0,11.8
08:55:13,96.0,11.9
08:55:14,96.0,11.9
08:55:15,96.0,11.9
08:55:16,95.0,11.9
08:55:17,97.0,11.9
08:55:18,96.0,11.9
08:55:19,96.0,11.9
08:55:20,96.0,11.9
08:55:21,95.0,11.9
08:55:22,95.0,11.9
08:55:23,97.0,11.9
08:55:24,80.2,11.9
08:55:25,97.0,11.9
08:55:26,96.0,11.9
08:55:27,96.0,11.9
08:55:28,97.0,11.9
08:55:29,95.0,11.9
08:55:30,97.0,11.9
08:55:31,96.0,11.9
08:55:32,96.0,11.9
08:55:33,97.0,11.9
08:55:34,96.0,11.9
08:55:35,97.0,11.9
08:55:36,95.0,11.9
08:55:37,97.0,11.9
08:55:38,96.0,11.9
08:55:39,96.0,11.9
08:55:40,84.0,11.9
08:55:41,91.1,11.9
08:55:42,96.0,11.9
08:55:43,95.0,11.9
08:55:44,96.0,11.9
08:55:45,97.0,11.9
08:55:46,96.0,12.0
08:55:47,96.0,12.0
08:55:48,95.0,12.0
08:55:49,96.0,12.0
08:55:50,97.0,12.0
08:55:51,96.0,12.0
08:55:52,84.0,12.1
08:55:53,97.0,12.1
08:55:54,96.0,12.1
08:55:55,97.0,12.2
08:55:56,96.0,12.2
08:55:57,97.0,12.3
08:55:58,97.0,12.3
08:55:59,91.1,12.3
08:56:00,97.0,12.3
08:56:01,95.0,12.3
08:56:02,97.0,12.3
08:56:03,96.0,12.3
08:56:04,83.0,12.3
08:56:05,97.0,12.3
08:56:06,92.1,12.3
08:56:07,98.0,12.3
08:56:08,96.0,12.3
08:56:09,96.0,12.3
08:56:10,96.0,12.4
08:56:11,90.1,12.5
08:56:12,97.0,12.5
08:56:13,95.0,12.5
08:56:14,96.0,12.5
08:56:15,96.0,12.5
08:56:16,96.0,12.5
08:56:17,94.0,12.5
08:56:18,97.0,12.5
08:56:19,94.1,12.5
08:56:20,96.0,12.5
08:56:21,91.1,12.5
08:56:22,96.0,12.5
08:56:23,92.0,12.6
08:56:24,97.0,12.7
08:56:25,96.0,12.7
08:56:26,96.0,12.7
08:56:27,96.0,12.7
08:56:28,97.0,12.7
08:56:29,95.0,12.7
08:56:30,95.0,12.7
08:56:31,94.1,12.7
08:56:32,95.0,12.9
08:56:33,84.2,12.9
08:56:34,95.0,13.0
08:56:35,95.0,13.0
08:56:36,96.0,13.1
08:56:37,96.0,13.2
08:56:38,83.2,13.2
08:56:39,95.0,13.2
08:56:40,97.0,13.2
08:56:41,95.0,13.2
08:56:42,91.0,13.2
08:56:43,91.1,13.2
08:56:44,96.0,13.2
08:56:45,96.0,13.2
08:56:46,96.0,13.2
08:56:47,95.0,13.2
08:56:48,97.0,13.2
08:56:49,94.1,13.3
08:56:50,96.0,13.3
08:56:51,92.1,13.3
08:56:52,95.0,13.3
08:56:53,95.0,13.4
08:56:54,95.0,13.4
08:56:55,97.0,13.4
08:56:56,96.0,13.4
08:56:57,96.0,13.4
08:56:58,98.0,13.4
08:56:59,95.0,13.4
08:57:00,97.0,13.4
08:57:01,95.0,13.4
08:57:02,97.0,13.4
08:57:03,97.0,13.4
08:57:04,95.0,13.4
08:57:05,97.0,13.4
08:57:06,96.0,13.4
08:57:07,97.0,13.4
08:57:08,96.0,13.4
08:57:09,95.0,13.4
08:57:10,95.0,13.4
08:57:11,95.0,13.4
08:57:12,91.0,13.4
08:57:13,96.0,13.4
08:57:14,97.0,13.4
08:57:15,95.0,13.4
08:57:16,97.0,13.4
08:57:17,95.0,13.4
