time,cpu %,mem %
08:53:20,0.0,0.3
08:53:21,0.0,0.3
08:53:22,0.0,0.3
08:53:23,2.0,0.3
08:53:24,1.0,0.3
08:53:25,1.0,0.3
08:53:26,2.0,0.3
08:53:27,1.0,0.3
08:53:28,0.0,0.3
08:53:29,1.0,0.3
08:53:30,1.0,0.3
08:53:31,1.0,0.3
08:53:32,2.0,0.3
08:53:33,1.0,0.3
08:53:34,1.0,0.3
08:53:35,2.0,0.3
08:53:36,1.0,0.3
08:53:37,1.0,0.3
08:53:38,1.0,0.3
08:53:39,2.0,0.3
08:53:40,1.0,0.3
08:53:41,1.0,0.3
08:53:42,1.0,0.3
08:53:43,1.0,0.3
08:53:44,1.0,0.3
08:53:45,2.0,0.3
08:53:46,1.0,0.3
08:53:47,1.0,0.3
08:53:48,2.0,0.3
08:53:49,2.0,0.3
08:53:50,1.0,0.3
08:53:51,1.0,0.3
08:53:52,1.0,0.3
08:53:53,2.0,0.3
08:53:54,1.0,0.3
08:53:55,1.0,0.3
08:53:56,3.0,0.3
08:53:57,1.0,0.3
08:53:58,1.0,0.3
08:53:59,1.0,0.3
08:54:00,2.0,0.3
08:54:01,1.0,0.3
08:54:02,1.0,0.3
08:54:03,4.0,0.3
08:54:04,7.9,0.3
08:54:05,7.0,0.3
08:54:06,8.0,0.3
08:54:07,6.0,0.3
08:54:08,8.0,0.3
08:54:09,6.9,0.3
08:54:10,6.0,0.3
08:54:11,8.0,0.4
08:54:12,6.0,0.4
08:54:13,6.0,0.4
08:54:14,8.0,0.4
08:54:15,7.0,0.4
08:54:16,8.9,0.4
08:54:17,3.0,0.4
08:54:18,8.0,0.4
08:54:19,6.0,0.4
08:54:20,6.0,0.4
08:54:21,6.0,0.4
08:54:22,5.0,0.4
08:54:23,5.0,0.4
08:54:24,7.0,0.4
08:54:25,7.0,0.4
08:54:26,6.0,0.4
08:54:27,9.0,0.4
08:54:28,5.9,0.4
08:54:29,6.0,0.4
08:54:30,8.0,0.4
08:54:31,5.0,0.4
08:54:32,7.0,0.4
08:54:33,3.0,0.4
08:54:34,4.0,0.4
08:54:35,2.0,0.4
08:54:36,3.0,0.4
08:54:37,2.0,0.4
08:54:38,2.0,0.4
08:54:39,4.0,0.5
08:54:40,3.0,0.5
08:54:41,6.0,0.5
08:54:42,3.0,0.5
08:54:43,5.0,0.5
08:54:44,12.0,0.5
08:54:45,9.0,0.5
08:54:46,11.0,0.5
08:54:47,19.0,0.5
08:54:48,11.0,0.5
08:54:49,5.9,0.5
08:54:50,11.0,0.5
08:54:51,13.0,0.5
08:54:52,13.0,0.5
08:54:53,7.0,0.5
08:54:54,10.0,0.6
08:54:55,14.9,0.5
08:54:56,13.0,0.5
08:54:57,10.0,0.5
08:54:58,11.0,0.5
08:54:59,8.0,0.5
08:55:00,9.0,0.5
08:55:01,8.9,0.5
08:55:02,7.0,0.5
08:55:03,9.0,0.5
08:55:04,7.0,0.5
08:55:06,8.0,0.5
08:55:07,11.0,0.6
08:55:08,7.9,0.6
08:55:09,10.0,0.6
08:55:10,8.0,0.6
08:55:11,25.0,0.6
08:55:12,7.0,0.6
08:55:13,8.0,0.6
08:55:14,7.9,0.6
08:55:15,6.0,0.6
08:55:16,7.0,0.6
08:55:17,10.0,0.7
08:55:18,9.0,0.7
08:55:19,8.0,0.7
08:55:20,12.0,0.7
08:55:21,7.9,0.7
08:55:22,8.0,0.7
08:55:23,10.0,0.7
08:55:24,9.0,0.7
08:55:25,21.0,0.7
08:55:26,18.0,0.7
08:55:27,18.8,0.7
