time, cpu%, mem%
22:54:52,97,6.5
22:54:53,98,6.9
22:54:54,99,7.3
22:54:55,98,7.5
22:54:56,97,7.7
22:54:57,98,7.9
22:54:58,96,8.2
22:54:59,99,8.4
22:55:00,96,8.6
22:55:01,99,8.8
22:55:02,98,9.1
22:55:03,97,9.1
22:55:04,98,9.1
22:55:05,98,9.3
22:55:06,97,9.5
22:55:07,98,9.8
22:55:08,98,10.1
22:55:09,98,10.2
22:55:10,97,10.3
22:55:11,96,10.5
22:55:12,97,10.8
22:55:13,98,11.3
22:55:14,97,11.1
22:55:15,97,11.1
22:55:16,97,11.1
22:55:17,98,11.1
22:55:18,97,11.1
22:55:19,96,11.1
22:55:20,97,11.1
22:55:21,88.1,11.1
22:55:23,98,11.1
22:55:24,96,11.1
22:55:25,93,11.1
22:55:26,98,11.1
22:55:27,96,11.1
22:55:28,98,11.1
22:55:29,96,11.1
22:55:30,97,11.1
22:55:31,93,11.1
22:55:32,97,11.1
22:55:33,96,11.1
22:55:34,94,11.1
22:55:35,95,11.1
22:55:36,85,11.1
22:55:37,7,11.1
22:55:38,98,11.1
22:55:39,96,11.1
22:55:40,92.1,11.1
22:55:41,95,11.1
22:55:42,96,11.1
22:55:43,97,11.1
22:55:44,96,11.1
22:55:45,96,11.1
22:55:46,97,11.1
22:55:47,96,11.2
22:55:48,84.2,11.2
22:55:49,96,11.2
22:55:50,96,11.2
22:55:51,96,11.2
22:55:52,97,11.2
22:55:53,96,11.2
22:55:54,96,11.2
22:55:55,96,11.2
22:55:56,96,11.2
22:55:57,96,11.2
22:55:58,96,11.2
22:55:59,96,11.2
22:56:00,96,11.2
22:56:01,97,11.2
22:56:02,97,11.2
22:56:03,95,11.2
22:56:04,97,11.2
22:56:05,96,11.2
22:56:06,96,11.2
22:56:07,97,11.2
22:56:08,95,11.2
22:56:09,96,11.2
22:56:10,97,11.2
22:56:11,85,11.2
22:56:12,97,11.2
22:56:13,12.9,11.2
22:56:14,84,11.3
22:56:15,97,11.3
22:56:16,96,11.3
22:56:17,97,11.3
22:56:18,95,11.4
22:56:19,97,11.4
22:56:20,97,11.4
22:56:21,95,11.4
22:56:22,97,11.4
22:56:23,97,11.4
22:56:24,95,11.4
22:56:25,97,11.4
22:56:26,95,11.4
