time, cpu%, mem%
22:54:52,0.0,0.4
22:54:53,17.0,0.4
22:54:54,22.0,0.5
22:54:55,33.0,0.5
22:54:56,23.8,0.5
22:54:57,15.0,0.5
22:54:58,13.0,0.5
22:54:59,21.0,0.5
22:55:00,25.0,0.6
22:55:01,15.0,0.6
22:55:02,28.7,0.6
22:55:03,31.0,0.6
22:55:04,16.0,0.6
22:55:05,26.0,0.6
22:55:06,31.0,0.7
22:55:07,30.0,0.7
22:55:08,28.7,0.7
22:55:09,26.0,0.8
22:55:10,29.0,0.8
22:55:11,28.0,0.8
22:55:12,34.0,0.8
22:55:13,21.8,0.8
22:55:14,29.0,0.9
22:55:15,17.0,0.9
22:55:16,27.0,0.9
22:55:17,30.0,0.9
22:55:18,34.0,1.0
22:55:19,13.9,1.0
22:55:20,27.0,1.0
22:55:21,37.0,1.1
22:55:22,31.0,1.1
22:55:23,35.0,1.1
22:55:24,24.0,1.1
22:55:25,47.5,1.2
22:55:26,32.0,1.2
22:55:27,30.0,1.2
22:55:28,31.0,1.2
22:55:29,34.0,1.2
22:55:30,23.8,1.2
22:55:31,31.0,1.2
22:55:32,38.0,1.3
22:55:33,27.0,1.3
22:55:34,30.0,1.3
22:55:35,24.8,1.3
22:55:36,1.0,1.3
22:55:37,9.0,1.3
22:55:38,40.0,1.3
22:55:39,12.0,1.3
22:55:40,20.8,1.3
22:55:41,20.0,1.4
22:55:42,19.0,1.4
22:55:43,17.0,1.4
22:55:44,17.0,1.4
22:55:45,17.0,1.4
22:55:46,27.7,1.4
22:55:47,18.0,1.4
22:55:48,18.0,1.4
22:55:49,21.0,1.4
22:55:50,32.0,1.5
22:55:51,19.8,1.5
22:55:52,21.0,1.5
22:55:53,21.0,1.5
22:55:54,20.0,1.5
22:55:55,21.0,1.5
22:55:56,37.6,1.6
22:55:57,19.0,1.6
22:55:58,22.0,1.6
22:55:59,22.0,1.6
22:56:00,19.0,1.6
22:56:01,23.0,1.6
22:56:02,19.8,1.6
22:56:03,27.0,1.6
22:56:04,75.0,1.4
22:56:05,22.0,1.4
22:56:06,22.0,1.4
22:56:07,23.8,1.5
22:56:08,26.0,1.5
22:56:09,25.0,1.5
22:56:10,22.0,1.5
22:56:11,47.5,1.5
22:56:12,4.0,1.5
22:56:13,5.0,1.5
22:56:14,21.0,1.6
22:56:15,21.0,1.6
22:56:16,26.7,1.6
22:56:17,21.0,1.7
22:56:18,24.0,1.7
22:56:19,17.0,1.7
22:56:20,53.0,1.7
22:56:21,14.0,1.7
22:56:22,18.0,1.7
22:56:23,20.8,1.8
22:56:24,16.0,1.8
22:56:25,17.0,1.8
22:56:26,16.0,1.8
22:56:27,16.0,1.9
22:56:28,20.0,1.9
22:56:29,10.9,2.0
22:56:30,8.0,2.0
22:56:31,31.0,2.1
22:56:32,22.0,2.1
22:56:33,21.0,2.1
22:56:35,21.0,2.1
22:56:36,24.8,2.1
22:56:37,21.0,2.1
22:56:38,58.0,2.2
22:56:39,22.0,2.2
22:56:40,20.0,2.2
22:56:41,18.8,2.2
22:56:42,18.0,2.2
22:56:43,16.0,2.2
22:56:44,16.0,2.2
22:56:45,20.0,2.2
22:56:46,68.0,2.0
22:56:47,35.6,2.0
22:56:48,2.0,2.0
22:56:49,0.0,2.0
22:56:50,12.0,2.0
22:56:51,19.0,2.0
22:56:52,12.0,2.1
22:56:53,10.9,2.1
22:56:54,26.0,2.1
22:56:55,14.0,2.1
22:56:56,16.0,2.1
22:56:57,17.0,2.2
22:56:58,17.0,2.2
22:56:59,57.4,2.2
22:57:00,12.0,2.2
22:57:01,16.0,2.2
22:57:02,21.0,2.3
22:57:03,18.0,2.3
22:57:04,13.0,2.3
22:57:05,17.0,2.4
22:57:06,18.8,2.4
22:57:07,16.0,2.4
22:57:08,25.0,2.5
22:57:09,16.0,2.5
22:57:10,15.0,2.5
22:57:11,24.0,2.6
22:57:12,31.7,2.7
22:57:13,21.0,2.7
22:57:14,24.0,2.7
22:57:15,24.0,2.7
22:57:16,22.0,2.7
22:57:17,32.7,2.7
22:57:18,23.0,2.7
22:57:19,21.0,2.7
22:57:20,23.0,2.7
22:57:21,40.6,2.8
22:57:22,48.0,2.8
22:57:23,10.0,2.8
22:57:24,0.0,2.8
22:57:25,0.0,2.8
22:57:26,0.0,2.8
22:57:27,0.0,2.8
22:57:28,0.0,2.8
22:57:29,14.0,2.8
22:57:30,105.0,2.6
22:57:31,24.0,2.5
22:57:32,23.8,2.6
22:57:33,25.0,2.6
22:57:34,24.0,2.6
22:57:35,19.0,2.6
22:57:36,20.0,2.7
22:57:37,23.8,2.7
22:57:38,22.0,2.7
22:57:39,31.0,2.8
22:57:40,17.0,2.8
22:57:41,21.0,2.8
22:57:42,63.4,2.8
22:57:43,21.0,2.8
22:57:44,22.0,2.8
22:57:45,23.0,2.8
22:57:46,21.0,2.9
22:57:47,20.8,2.9
22:57:48,29.0,3.0
22:57:49,22.0,3.0
22:57:50,24.0,3.0
22:57:51,32.0,3.1
22:57:52,18.8,3.1
22:57:53,24.0,3.1
22:57:54,19.0,3.1
22:57:55,21.0,3.1
22:57:56,28.0,3.2
22:57:57,18.8,3.2
22:57:58,19.0,3.2
22:57:59,25.0,3.2
22:58:00,21.0,3.2
22:58:01,80.0,3.3
22:58:02,21.8,3.3
22:58:03,7.0,3.3
22:58:04,0.0,3.3
22:58:05,2.0,3.3
22:58:06,0.0,3.3
22:58:07,0.0,3.3
22:58:08,0.0,3.3
22:58:09,53.0,3.0
22:58:10,79.0,3.0
22:58:11,0.0,3.0
22:58:12,7.0,3.0
22:58:13,24.0,3.0
22:58:14,30.0,3.1
22:58:15,35.0,3.1
