time, cpu%, mem%
17:26:29,99.9,4.0
17:26:30,95.0,5.0
17:26:31,88.0,5.8
17:26:32,99.0,6.4
17:26:33,94.1,6.8
17:26:34,98.0,7.2
17:26:35,97.0,7.2
17:26:36,93.0,7.5
17:26:37,99.0,7.8
17:26:38,97.0,7.9
17:26:39,93.0,8.2
17:26:40,98.0,8.5
17:26:41,99.0,8.8
17:26:42,93.0,8.8
17:26:43,99.0,9.1
17:26:44,97.0,9.2
17:26:45,94.1,9.2
17:26:46,99.0,9.4
17:26:47,97.0,9.6
17:26:48,94.1,9.9
17:26:49,98.0,10.3
17:26:50,97.0,10.4
17:26:51,95.0,10.7
17:26:52,96.0,10.9
17:26:53,97.0,11.8
17:26:54,98.0,11.1
17:26:55,93.1,11.1
17:26:56,98.0,11.1
17:26:57,99.0,11.1
17:26:58,92.1,11.1
17:26:59,98.0,11.1
17:27:00,96.0,11.1
17:27:01,95.0,11.1
17:27:02,97.0,11.1
17:27:03,96.0,11.1
17:27:04,94.0,11.1
17:27:05,97.0,11.1
17:27:06,99.0,11.1
17:27:07,92.0,11.1
17:27:08,97.0,11.1
17:27:09,98.0,11.1
17:27:10,92.1,11.1
17:27:11,98.0,11.1
17:27:12,97.0,11.1
17:27:13,93.1,11.1
17:27:14,88.0,11.1
17:27:15,8.9,11.1
17:27:16,94.0,11.1
17:27:17,98.0,11.2
17:27:18,96.0,11.2
17:27:19,93.0,11.2
17:27:20,96.0,11.2
17:27:21,96.0,11.2
17:27:22,95.0,11.2
17:27:23,95.0,11.2
17:27:24,98.0,11.2
17:27:25,92.1,11.2
17:27:26,97.0,11.2
17:27:27,97.0,11.2
17:27:28,92.1,11.2
17:27:29,97.0,11.2
17:27:30,96.0,11.2
17:27:31,92.1,11.2
17:27:32,98.0,11.2
17:27:33,96.0,11.2
17:27:34,93.0,11.2
17:27:35,95.0,11.2
17:27:36,96.0,11.3
17:27:37,93.0,11.3
17:27:38,96.0,11.4
17:27:39,96.0,11.4
17:27:40,92.0,11.4
17:27:41,96.0,11.4
17:27:42,96.0,11.4
17:27:43,95.0,11.4
17:27:44,93.1,11.5
17:27:45,95.0,11.5
17:27:46,96.0,11.5
17:27:48,92.0,11.5
17:27:49,97.0,11.5
17:27:50,78.2,11.6
17:27:51,18.0,11.6
17:27:52,97.0,11.9
17:27:53,97.0,11.9
17:27:54,92.0,12.0
17:27:55,96.0,12.0
17:27:56,96.0,12.0
17:27:57,92.1,12.0
17:27:58,97.0,12.3
17:27:59,97.0,12.3
17:28:00,92.1,12.3
17:28:01,97.0,12.3
17:28:02,96.0,12.3
17:28:03,93.0,12.3
17:28:04,95.0,12.3
17:28:05,96.0,12.3
17:28:06,92.1,12.3
17:28:07,97.0,12.3
17:28:08,97.0,12.3
17:28:09,91.1,12.3
17:28:10,97.0,12.3
17:28:11,97.0,12.3
17:28:12,92.1,12.3
17:28:13,97.0,12.3
17:28:14,96.0,12.3
17:28:15,92.1,12.3
17:28:16,97.0,12.3
17:28:17,95.0,12.3
17:28:18,93.0,12.3
17:28:19,97.0,12.3
17:28:20,96.0,12.3
17:28:21,93.0,12.3
17:28:22,95.0,12.3
17:28:23,97.0,12.3
17:28:24,93.0,12.3
17:28:25,24.8,12.3
17:28:26,74.0,13.5
17:28:27,92.1,14.2
17:28:28,98.0,14.2
17:28:29,95.0,14.2
17:28:30,91.1,14.2
17:28:31,98.0,14.2
17:28:32,95.0,14.2
17:28:33,94.0,14.3
17:28:34,85.0,14.3
17:28:35,96.0,14.3
17:28:36,95.0,14.3
17:28:37,95.0,14.3
17:28:38,98.0,14.3
17:28:39,97.0,14.3
17:28:40,92.1,14.3
17:28:41,99.0,14.3
17:28:42,95.0,14.3
17:28:43,94.0,14.3
17:28:44,96.0,14.3
17:28:45,97.0,14.3
17:28:46,94.0,14.3
17:28:47,97.0,14.3
17:28:48,97.0,14.3
17:28:49,93.0,14.3
17:28:50,96.0,14.3
17:28:51,98.0,14.3
17:28:52,92.1,14.3
17:28:53,98.0,14.3
17:28:54,98.0,14.3
17:28:55,91.1,14.3
17:28:56,98.0,14.3
17:28:57,97.0,14.3
17:28:58,94.0,14.3
17:28:59,97.0,14.3
17:29:00,97.0,14.3
17:29:01,93.0,14.3
17:29:02,98.0,14.3
17:29:03,61.4,14.3
17:29:04,36.0,14.3
17:29:05,98.0,14.3
17:29:06,99.9,14.3
17:29:07,96.0,14.3
17:29:08,98.0,14.4
17:29:09,99.9,14.9
17:29:10,95.0,14.9
17:29:11,99.0,15.0
17:29:12,98.0,15.1
17:29:13,93.1,15.6
17:29:14,98.0,15.7
17:29:15,97.0,15.8
17:29:16,92.1,15.8
17:29:17,97.0,15.8
17:29:18,96.0,15.8
17:29:19,93.0,15.8
17:29:20,97.0,16.1
17:29:21,96.0,16.2
17:29:22,93.0,16.2
17:29:23,97.0,16.2
17:29:24,96.0,16.2
17:29:25,93.0,16.3
17:29:26,96.0,16.3
17:29:27,96.0,16.3
17:29:28,93.0,16.3
17:29:29,96.0,16.3
17:29:30,96.0,16.3
17:29:31,95.0,16.3
17:29:32,94.0,16.3
17:29:33,97.0,16.3
17:29:34,96.0,16.3
17:29:35,92.0,16.3
17:29:36,98.0,16.3
17:29:37,95.0,16.3
17:29:38,94.0,16.3
17:29:39,95.0,16.3
17:29:40,97.0,16.3
17:29:41,93.0,16.3
17:29:42,95.0,16.3
17:29:43,98.0,16.3
17:29:44,91.1,16.3
17:29:45,96.0,16.3
17:29:46,96.0,16.3
17:29:47,92.1,16.3
17:29:48,97.0,16.3
17:29:49,95.0,16.3
17:29:50,93.0,16.3
17:29:51,96.0,16.3
17:29:52,97.0,16.3
17:29:53,92.0,16.3
17:29:54,96.0,16.3
17:29:55,97.0,16.3
17:29:56,94.0,16.3
17:29:57,96.0,16.3
17:29:58,96.0,16.3
17:29:59,92.0,16.3
17:30:00,96.0,16.3
17:30:01,96.0,16.3
17:30:02,93.0,16.3
17:30:03,96.0,16.3
17:30:04,96.0,16.4
17:30:05,93.0,16.4
