time, cpu%, mem%
17:26:30,0.0,0.4
17:26:31,0.0,0.4
17:26:32,0.0,0.4
17:26:33,0.0,0.4
17:26:34,15.8,0.4
17:26:35,18.0,0.5
17:26:36,15.0,0.5
17:26:37,31.0,0.5
17:26:38,24.0,0.5
17:26:39,18.0,0.5
17:26:40,13.9,0.5
17:26:41,30.0,0.6
17:26:42,34.0,0.6
17:26:43,36.0,0.6
17:26:44,34.0,0.6
17:26:45,33.7,0.7
17:26:46,35.0,0.7
17:26:47,23.0,0.7
17:26:48,27.0,0.7
17:26:49,30.0,0.8
17:26:50,22.8,0.8
17:26:51,31.0,0.8
17:26:52,30.0,0.8
17:26:53,33.0,0.8
17:26:54,16.0,0.8
17:26:55,29.0,0.9
17:26:56,29.7,0.9
17:26:57,25.0,0.9
17:26:58,34.0,1.0
17:26:59,32.0,1.0
17:27:00,28.0,1.0
17:27:01,29.0,1.1
17:27:02,34.7,1.1
17:27:03,24.0,1.1
17:27:04,33.0,1.1
17:27:05,44.0,1.2
17:27:06,29.0,1.2
17:27:07,27.7,1.2
17:27:08,32.0,1.2
17:27:09,35.0,1.2
17:27:10,21.0,1.2
17:27:11,35.0,1.2
17:27:12,36.0,1.3
17:27:13,24.8,1.3
17:27:14,29.0,1.3
17:27:15,10.0,1.3
17:27:16,2.0,1.3
17:27:17,40.0,1.3
17:27:18,21.0,1.3
17:27:19,14.9,1.3
17:27:20,20.0,1.3
17:27:21,23.0,1.3
17:27:22,15.0,1.3
17:27:23,17.0,1.3
17:27:24,16.8,1.3
17:27:25,25.0,1.3
17:27:26,19.0,1.3
17:27:27,25.0,1.4
17:27:28,20.0,1.4
17:27:29,38.0,1.5
17:27:30,19.8,1.5
17:27:31,16.0,1.5
17:27:32,19.0,1.5
17:27:33,23.0,1.5
17:27:34,22.0,1.5
17:27:35,19.8,1.5
17:27:36,29.0,1.5
17:27:37,14.0,1.5
17:27:38,13.0,1.5
17:27:39,50.0,1.7
17:27:40,22.0,1.7
17:27:41,18.8,1.7
17:27:42,24.0,1.7
17:27:43,19.0,1.7
17:27:44,22.0,1.7
17:27:45,20.0,1.7
17:27:46,26.7,1.7
17:27:47,22.0,1.7
17:27:48,80.0,1.5
17:27:49,24.0,1.5
17:27:50,9.0,1.5
17:27:51,4.0,1.5
17:27:52,24.0,1.6
17:27:53,27.0,1.6
17:27:54,16.0,1.6
17:27:55,23.0,1.6
17:27:56,24.8,1.6
17:27:57,19.0,1.7
17:27:58,39.0,1.7
17:27:59,18.0,1.7
17:28:00,20.0,1.7
17:28:01,21.0,1.7
17:28:02,22.8,1.8
17:28:03,26.0,1.8
17:28:04,17.0,1.8
17:28:05,29.0,1.9
17:28:06,23.0,1.9
17:28:07,19.0,2.0
17:28:08,28.7,2.0
17:28:09,23.0,2.0
17:28:10,18.0,2.0
17:28:11,21.0,2.0
17:28:12,56.0,2.1
17:28:13,18.0,2.1
17:28:14,22.8,2.1
17:28:15,24.0,2.1
17:28:16,19.0,2.1
17:28:17,23.0,2.1
17:28:18,24.0,2.1
17:28:19,25.7,2.1
17:28:20,57.0,2.0
17:28:21,52.0,2.0
17:28:22,24.0,2.0
17:28:23,24.0,2.1
17:28:24,14.0,2.1
17:28:25,0.0,2.1
17:28:26,6.9,2.1
17:28:27,22.0,2.1
17:28:28,11.0,2.1
17:28:29,17.0,2.1
17:28:30,28.0,2.2
17:28:31,19.0,2.2
17:28:32,20.8,2.2
17:28:33,18.0,2.2
17:28:34,48.0,2.3
17:28:35,22.0,2.3
17:28:36,21.0,2.3
17:28:37,23.0,2.3
17:28:38,21.8,2.3
17:28:39,18.0,2.4
17:28:40,19.0,2.4
17:28:41,29.0,2.5
17:28:42,20.0,2.5
17:28:43,104.0,2.3
17:28:44,21.8,2.3
17:28:45,20.0,2.4
17:28:46,23.0,2.4
17:28:47,23.0,2.4
17:28:48,17.0,2.4
17:28:49,21.8,2.5
17:28:50,29.0,2.5
17:28:51,19.0,2.5
17:28:52,25.0,2.6
17:28:53,20.0,2.6
17:28:54,18.8,2.6
17:28:55,69.0,2.6
17:28:56,23.0,2.6
17:28:57,22.0,2.6
17:28:58,17.0,2.7
17:28:59,21.0,2.7
17:29:00,20.8,2.7
17:29:01,16.0,2.8
17:29:02,29.0,2.8
17:29:03,2.0,2.8
17:29:04,1.0,2.8
17:29:05,0.0,2.8
17:29:06,0.0,2.8
17:29:07,0.0,2.8
17:29:08,0.0,2.8
17:29:09,0.0,2.8
17:29:10,0.0,2.8
17:29:11,3.0,2.8
17:29:12,20.0,2.8
17:29:13,3.0,2.9
17:29:14,15.0,2.9
17:29:15,33.0,2.7
17:29:16,27.7,2.8
17:29:17,19.0,2.8
17:29:18,25.0,2.8
17:29:19,16.0,2.9
17:29:20,20.0,2.9
17:29:21,25.7,2.9
17:29:22,27.0,3.0
17:29:23,21.0,3.0
17:29:24,23.0,3.0
17:29:25,70.0,3.1
17:29:26,20.0,3.1
17:29:27,23.0,3.1
17:29:28,21.8,3.1
17:29:29,18.0,3.1
17:29:30,24.0,3.1
17:29:31,22.0,3.1
17:29:32,20.0,3.2
17:29:33,30.0,3.2
17:29:34,117.8,3.0
17:29:35,27.0,3.0
17:29:36,24.0,3.0
17:29:37,23.0,3.1
17:29:38,26.0,3.1
17:29:39,19.8,3.1
17:29:40,22.0,3.1
17:29:41,30.0,3.2
17:29:42,21.0,3.2
17:29:43,30.0,3.3
17:29:44,19.8,3.3
17:29:45,18.0,3.3
17:29:46,78.0,3.3
17:29:47,20.0,3.3
17:29:48,18.0,3.3
17:29:49,23.0,3.3
17:29:50,22.8,3.4
17:29:51,25.0,3.4
17:29:52,26.0,3.4
17:29:53,33.0,3.5
17:29:54,24.0,3.5
17:29:55,19.0,3.6
17:29:56,34.7,3.7
17:29:57,24.0,3.7
17:29:58,18.0,3.7
17:29:59,25.0,3.7
17:30:00,25.0,3.7
17:30:01,32.7,3.7
17:30:02,25.0,3.7
17:30:03,27.0,3.7
17:30:04,21.0,3.7
17:30:05,33.0,3.8
17:30:06,24.0,3.8
17:30:07,22.8,3.8
17:30:08,26.0,3.8
17:30:09,31.0,3.9
17:30:10,23.0,3.9
17:30:11,21.0,3.9
17:30:12,18.0,3.9
17:30:13,23.8,3.9
17:30:14,90.0,3.9
17:30:15,29.0,3.9
17:30:16,23.0,4.0
17:30:17,25.0,4.0
17:30:18,24.8,4.0
17:30:19,24.0,4.0
17:30:20,30.0,4.0
17:30:21,25.0,4.0
17:30:22,27.0,4.0
17:30:23,26.0,4.1
17:30:24,24.8,4.1
17:30:25,25.0,4.1
17:30:26,23.0,4.1
17:30:27,26.0,4.1
17:30:28,27.0,4.2
17:30:29,22.0,4.2
17:30:30,92.0,3.9
17:30:31,111.9,3.9
17:30:32,25.0,3.9
17:30:33,25.0,4.0
17:30:34,21.0,4.0
17:30:35,28.0,4.1
17:30:36,23.8,4.1
17:30:37,21.0,4.1
17:30:38,23.0,4.1
17:30:39,20.0,4.2
17:30:40,33.0,4.2
17:30:41,26.7,4.2
17:30:42,21.0,4.3
17:30:43,31.0,4.3
17:30:44,16.0,4.3
17:30:45,24.0,4.3
17:30:46,30.0,4.4
17:30:47,25.7,4.4
17:30:48,21.0,4.4
17:30:49,19.0,4.4
17:30:50,101.0,4.4
17:30:51,25.0,4.4
17:30:52,20.0,4.4
17:30:53,28.7,4.4
17:30:54,26.0,4.5
17:30:55,17.0,4.5
17:30:56,16.0,4.5
17:30:57,26.0,4.5
17:30:58,25.0,4.6
17:30:59,26.7,4.6
17:31:00,29.0,4.7
17:31:01,19.0,4.7
17:31:02,25.0,4.7
17:31:03,26.0,4.7
17:31:04,32.0,4.7
17:31:05,21.8,4.7
17:31:06,25.0,4.7
17:31:07,24.0,4.7
17:31:08,29.0,4.8
17:31:09,24.0,4.8
17:31:10,24.0,4.8
17:31:11,22.8,4.8
17:31:12,21.0,4.8
17:31:13,32.0,4.9
17:31:14,22.0,4.9
17:31:15,23.0,4.9
17:31:16,23.8,4.9
17:31:17,25.0,4.9
17:31:18,23.0,4.9
17:31:19,26.0,4.9
17:31:20,23.0,4.9
17:31:21,24.0,4.9
17:31:22,27.7,5.0
17:31:23,25.0,5.0
17:31:24,22.0,5.0
17:31:25,23.0,5.0
17:31:26,33.0,5.1
17:31:27,21.8,5.1
17:31:28,26.0,5.1
17:31:29,29.0,5.1
17:31:30,114.0,5.1
17:31:31,20.0,5.1
17:31:32,24.0,5.1
17:31:33,20.0,5.1
17:31:34,23.8,5.1
17:31:35,27.0,5.1
17:31:36,22.0,5.1
