"payloadSizeInByte","messagesPerSecond","dataGenerationInMs","executionInMs","allSentInMs"
"2","1000","784.33482","41218.647932","41218.700257000004"
"16","1000","620.0723399999988","33387.20395","33387.23744599999"
"128","1000","591.442074999999","32990.450884000005","32990.475462"
"1024","1000","1051.363034000009","36461.82610599999","36461.85287599999"
"2","11000","7821.183691000013","354681.634793","354681.662054"
"16","11000","7990.911515999993","356542.16613599996","356542.19172999996"
"128","11000","9460.581515999977","363606.186325","363606.2145870001"
"1024","11000","14849.199877000181","404860.3266439999","404860.35398899997"
"2","21000","16993.552831999958","700029.5773069998","700029.60586"
"16","21000","17034.31241100002","706169.733157","706169.7623780002"
"128","21000","18700.52416299982","713849.448502","713849.4764300003"
"1024","21000","27894.300896999892","794524.0675750002","794524.0982130002"
"2","31000","25269.523660999723","1041386.6613619998","1041386.6890670005"
"16","31000","24468.18113399949","1033289.8611590005","1033289.8888260005"
"128","31000","28517.88233899977","1034784.2692959998","1034784.298463"
"1024","31000","41951.310622000135","1156259.0471120002","1156260.4329629997"
