time,cpu %,mem %
22:51:04,99.9,3.8
22:51:05,99.0,3.9
22:51:06,84.2,4.6
22:51:07,89.0,5.7
22:51:08,89.1,6.3
22:51:09,88.0,6.6
22:51:10,80.0,7.7
22:51:11,28.7,8.0
22:51:12,28.7,8.2
22:51:13,47.0,8.4
22:51:14,26.7,8.6
22:51:15,28.0,9.0
22:51:16,29.0,9.0
22:51:17,26.7,9.0
22:51:18,27.0,9.0
22:51:19,26.7,9.0
22:51:20,37.0,9.2
22:51:21,35.0,9.4
22:51:22,43.6,9.7
22:51:23,27.0,9.9
22:51:24,28.0,10.0
22:51:25,26.7,10.0
22:51:26,29.0,10.0
22:51:27,34.0,10.0
22:51:28,26.7,10.2
22:51:29,28.0,10.4
22:51:30,32.7,10.6
22:51:31,26.0,10.8
22:51:32,29.0,10.8
22:51:33,29.7,10.8
22:51:34,28.0,10.8
22:51:35,27.7,10.8
22:51:36,27.0,10.8
22:51:37,30.0,10.8
22:51:38,26.7,10.8
22:51:39,49.0,10.8
22:51:40,40.0,10.8
22:51:41,26.7,10.8
22:51:42,30.0,10.8
22:51:43,32.0,10.8
22:51:44,28.7,10.8
22:51:45,29.0,10.8
22:51:46,28.7,10.8
22:51:47,27.0,10.8
22:51:48,27.0,10.8
22:51:49,28.7,10.8
22:51:50,45.0,10.8
22:51:51,99.0,10.9
22:51:52,98.0,10.9
22:51:53,99.9,10.9
22:51:54,99.0,10.9
22:51:55,98.0,10.9
22:51:56,99.0,10.9
22:51:57,99.0,10.9
22:51:58,99.9,10.9
22:51:59,99.0,10.9
22:52:00,91.1,10.9
22:52:01,99.0,10.9
22:52:02,98.0,10.9
22:52:03,99.0,10.9
22:52:04,99.0,10.9
22:52:05,99.9,10.9
22:52:06,99.0,10.9
22:52:07,99.0,10.9
22:52:08,98.0,11.0
22:52:09,99.0,11.0
22:52:10,93.0,11.0
22:52:11,90.1,11.0
22:52:12,99.9,11.0
22:52:13,99.0,11.0
22:52:14,98.0,11.1
22:52:15,99.9,11.1
22:52:16,98.0,11.1
22:52:17,99.0,11.1
22:52:18,98.0,11.1
22:52:19,99.0,11.1
22:52:20,99.0,11.1
22:52:21,91.1,11.1
22:52:22,99.0,11.1
22:52:23,99.0,11.1
22:52:24,98.0,11.2
22:52:25,99.9,11.3
22:52:26,99.9,11.3
22:52:27,98.0,11.3
22:52:28,99.0,11.3
22:52:29,98.0,11.3
22:52:30,99.9,11.3
22:52:31,95.0,11.3
22:52:32,99.0,11.3
22:52:33,98.0,11.3
22:52:34,99.9,11.3
22:52:35,98.0,11.3
22:52:36,99.0,11.3
22:52:37,99.9,11.3
22:52:38,98.0,11.3
22:52:39,99.0,11.3
22:52:40,98.0,11.3
22:52:41,95.0,11.3
22:52:42,93.0,11.3
22:52:43,98.0,11.4
22:52:44,99.0,11.4
22:52:45,98.0,11.4
22:52:46,98.0,11.4
22:52:47,99.0,11.4
22:52:48,98.0,11.4
22:52:49,99.0,11.4
22:52:50,99.9,11.4
22:52:51,88.1,11.4
22:52:52,99.0,11.4
22:52:53,99.0,11.4
22:52:54,99.0,11.5
22:52:55,99.0,11.5
22:52:56,98.0,11.6
22:52:57,99.9,11.6
22:52:58,98.0,11.6
22:52:59,98.0,11.6
22:53:00,99.0,11.6
22:53:01,90.1,11.6
22:53:02,99.0,11.6
22:53:03,99.0,11.7
22:53:04,98.0,11.7
22:53:05,99.0,11.9
22:53:06,97.0,11.9
22:53:07,99.0,12.0
22:53:08,99.9,12.0
22:53:09,98.0,12.0
22:53:10,98.0,12.0
22:53:11,92.0,12.1
22:53:12,91.1,12.1
22:53:13,98.0,12.1
22:53:14,98.0,12.1
22:53:15,97.0,12.1
22:53:16,99.0,12.1
22:53:17,98.0,12.1
22:53:18,99.0,12.1
22:53:19,98.0,12.1
22:53:20,98.0,12.1
22:53:21,99.0,12.1
22:53:22,97.0,12.1
22:53:23,99.0,12.1
22:53:24,99.0,12.1
22:53:25,98.0,12.1
22:53:26,98.0,12.1
22:53:27,98.0,12.1
22:53:28,99.0,12.1
22:53:29,99.0,12.1
22:53:30,92.1,12.1
22:53:31,99.0,12.1
22:53:32,99.0,12.1
22:53:33,95.0,12.1
22:53:34,98.0,12.1
22:53:35,98.0,12.1
22:53:36,98.0,12.1
22:53:37,99.0,12.1
22:53:38,98.0,12.1
22:53:39,99.0,12.1
22:53:40,99.0,12.1
22:53:41,97.0,12.1
22:53:42,92.0,12.1
22:53:43,98.0,12.1
22:53:44,99.0,12.1
22:53:45,98.0,12.1
22:53:46,97.0,12.1
22:53:47,98.0,12.1
22:53:48,99.0,12.1
22:53:49,93.0,12.1
22:53:50,99.0,12.1
22:53:51,86.1,12.2
22:53:52,98.0,12.2
22:53:53,98.0,12.3
22:53:54,98.0,12.3
22:53:55,99.0,12.3
22:53:56,96.0,12.3
22:53:57,99.0,12.3
22:53:58,99.0,12.3
22:53:59,97.0,12.3
22:54:00,99.9,12.3
22:54:01,97.0,12.3
22:54:02,98.0,12.3
22:54:03,99.0,12.3
22:54:04,97.0,12.3
22:54:05,98.0,12.3
22:54:06,99.9,12.3
22:54:07,97.0,12.3
22:54:08,93.0,12.3
22:54:09,99.0,12.6
22:54:10,97.0,12.6
22:54:11,98.0,12.7
22:54:12,92.1,13.0
22:54:13,98.0,13.0
22:54:14,97.0,13.0
22:54:15,98.0,13.1
22:54:16,99.9,13.1
22:54:17,97.0,13.1
22:54:18,98.0,13.1
22:54:19,97.0,13.1
22:54:20,98.0,13.1
22:54:21,98.0,13.1
22:54:22,97.0,13.2
22:54:23,99.0,13.2
22:54:24,98.0,13.3
22:54:25,98.0,13.3
22:54:26,98.0,13.3
22:54:27,98.0,13.3
22:54:28,98.0,13.3
22:54:29,93.0,13.4
22:54:30,97.0,13.4
22:54:31,99.0,13.4
22:54:32,99.0,13.2
22:54:33,97.0,13.2
22:54:34,99.0,13.2
22:54:35,98.0,13.2
22:54:36,98.0,13.2
22:54:37,99.0,13.2
22:54:38,98.0,13.3
22:54:39,98.0,13.3
22:54:40,99.0,13.3
22:54:41,98.0,13.3
22:54:42,92.0,13.3
22:54:43,99.0,13.3
22:54:44,98.0,13.3
22:54:45,99.0,13.3
22:54:46,97.0,13.3
22:54:47,98.0,13.3
22:54:48,99.0,13.3
22:54:49,97.0,13.3
22:54:50,99.9,13.3
22:54:51,97.0,13.3
22:54:52,99.9,13.3
22:54:53,98.0,13.3
22:54:54,98.0,13.3
22:54:55,99.0,13.3
22:54:56,97.0,13.3
22:54:57,99.0,13.3
22:54:58,99.0,13.3
22:54:59,97.0,13.3
22:55:00,99.0,13.3
22:55:01,98.0,13.3
22:55:02,99.0,13.3
22:55:03,98.0,13.3
22:55:04,93.1,13.3
22:55:05,99.0,13.3
22:55:06,99.0,13.3
22:55:07,97.0,13.3
22:55:08,99.0,13.4
22:55:09,99.0,13.4
22:55:10,97.0,13.4
22:55:11,99.0,13.4
22:55:12,91.1,13.4
22:55:13,99.9,13.4
22:55:14,98.0,13.1
22:55:15,98.0,13.1
22:55:16,99.0,13.1
22:55:17,98.0,13.1
22:55:18,99.0,13.1
22:55:19,98.0,13.1
22:55:20,98.0,13.1
22:55:21,99.0,13.1
22:55:22,98.0,13.1
22:55:23,97.0,13.2
22:55:24,99.0,13.2
22:55:25,98.0,13.2
22:55:26,99.0,13.2
22:55:27,97.0,13.2
22:55:28,98.0,13.2
22:55:29,99.0,13.2
22:55:30,98.0,13.2
22:55:31,99.0,13.2
22:55:32,98.0,13.2
22:55:33,98.0,13.2
22:55:34,99.0,13.2
22:55:35,94.0,13.2
22:55:36,98.0,13.2
22:55:37,99.0,13.2
22:55:38,98.0,13.2
22:55:39,99.0,13.2
22:55:40,93.0,13.2
22:55:41,97.0,13.2
22:55:42,93.0,13.2
22:55:43,97.0,13.2
22:55:44,98.0,13.3
22:55:45,99.0,13.3
22:55:46,98.0,13.3
22:55:47,99.0,13.3
22:55:48,97.0,13.3
22:55:49,98.0,13.3
22:55:50,98.0,13.3
22:55:51,98.0,13.3
22:55:52,99.0,13.3
22:55:53,98.0,13.3
22:55:54,97.0,13.3
22:55:55,99.0,13.3
22:55:56,99.0,13.4
22:55:57,98.0,13.4
22:55:58,98.0,13.3
22:55:59,98.0,13.3
22:56:00,86.0,13.3
22:56:01,99.0,13.4
22:56:02,97.0,13.4
22:56:03,99.0,13.4
22:56:04,98.0,13.4
