time, cpu%, mem%
20:39:35,93.8,8.6
20:39:36,99,9.2
20:39:37,99,9.3
20:39:38,99,9.4
20:39:39,98,9.4
20:39:40,99,9.5
20:39:41,98,9.6
20:39:42,98,9.7
20:39:43,99,9.9
20:39:44,99,10.1
20:39:45,98,10.3
20:39:46,99,10.3
20:39:47,98,10.3
20:39:48,99,10.3
20:39:49,50,10.4
20:39:50,48.5,10.5
20:39:51,99,10.7
20:39:52,99.9,10.8
20:39:53,98,11.1
20:39:54,97,11.2
20:39:55,99,11.3
20:39:56,99,11.5
20:39:57,98,11.5
20:39:58,98,11.5
20:39:59,99,11.5
20:40:00,98,11.5
20:40:01,99,11.5
20:40:02,98,11.5
20:40:03,99,11.5
20:40:04,38,11.5
20:40:05,60.4,11.6
20:40:06,99,11.8
20:40:07,99,11.9
20:40:08,97,12
20:40:09,99,11.9
20:40:10,99,11.9
20:40:11,98,11.9
20:40:12,99,11.9
20:40:13,99,11.9
20:40:14,98,11.9
20:40:15,98,11.9
20:40:16,98,11.9
20:40:17,65,11.9
20:40:18,35,12.4
20:40:19,98,13.9
20:40:20,99,14
20:40:21,99,14.1
20:40:22,97,14.1
20:40:23,99,14.2
20:40:24,97,14.2
20:40:25,98,14.2
20:40:26,98,14.2
20:40:27,98,14.2
20:40:28,97,14.2
20:40:29,99,14.2
20:40:30,98,14.2
20:40:31,26,14.2
20:40:32,72.3,16.8
20:40:33,99.9,20.7
20:40:34,99.9,24.6
20:40:35,98,27.3
20:40:36,99.9,30.2
20:40:37,98,30.3
20:40:38,93.1,30.3
20:40:39,95,30.3
20:40:40,95,30.3
20:40:41,94.1,30.4
20:40:42,95,30.4
20:40:43,93.1,30.4
20:40:44,95,30.4
20:40:45,95,30.4
20:40:46,94.1,30.4
20:40:47,95,30.4
20:40:48,93.1,30.4
20:40:49,92,30.4
20:40:50,92,30.4
20:40:51,93.1,30.4
20:40:52,94,30.4
20:40:53,93.1,30.4
20:40:54,92,30.4
20:40:55,93,30.4
20:40:56,93.1,30.4
20:40:57,94,30.4
20:40:58,45,30.4
20:40:59,50.5,30.6
20:41:00,99.9,30.8
20:41:01,99,31
20:41:02,98,31.4
20:41:03,99,31.6
20:41:04,99.9,31.7
20:41:05,99,32.5
20:41:06,99.9,32.8
20:41:07,99,33
20:41:08,98,33
20:41:09,99,33
20:41:10,98,33
20:41:11,88,33
20:41:12,98,33
20:41:13,98,33
20:41:14,99,33.3
20:41:15,95,33.3
20:41:16,98,33.3
20:41:17,99,33.3
20:41:18,98,33.3
20:41:19,99,33.3
20:41:20,99,33.3
20:41:21,97,33.3
20:41:22,99,33.5
20:41:23,99,33.5
20:41:24,98,33.5
20:41:25,99.9,33.5
20:41:26,98,33.5
20:41:27,98,33.5
20:41:28,99,33.5
20:41:29,98,33.5
20:41:30,99,33.5
20:41:31,99,33.5
20:41:32,98,33.5
20:41:33,99,33.5
20:41:34,99,33.5
20:41:35,98,33.5
20:41:36,98,33.5
20:41:37,99,33.5
20:41:38,81,33.5
20:41:39,99,33.5
20:41:40,89.1,33.5
20:41:41,47,33.5
20:41:42,84,33.5
20:41:43,98,33.5
20:41:44,98,33.5
20:41:45,95,33.5
20:41:46,98,33.5
20:41:47,99,33.5
20:41:48,95,33.5
20:41:49,99,33.5
20:41:50,98,33.5
20:41:51,94.1,33.5
20:41:52,98,33.5
20:41:53,98,33.5
20:41:54,92,33.5
20:41:55,96,33.5
20:41:56,98,33.5
20:41:57,98,33.5
20:41:58,97,33.5
20:41:59,99.9,33.5
20:42:00,98,33.5
20:42:01,99,33.5
20:42:02,99,33.5
20:42:03,98,33.5
20:42:04,98,33.5
20:42:05,99,33.5
20:42:06,98,33.5
20:42:07,99,33.5
20:42:08,98,33.5
20:42:09,99,33.5
20:42:10,99,33.5
20:42:11,97,33.5
20:42:12,99,33.5
20:42:13,99,33.5
20:42:14,97,33.5
20:42:15,99.9,33.5
20:42:16,99,33.5
20:42:17,98,33.5
20:42:18,98,33.5
20:42:19,98,33.5
20:42:20,98,33.5
20:42:21,99.9,33.5
20:42:22,97,33.5
20:42:23,99.9,33.5
20:42:24,99,33.5
20:42:25,97,33.5
20:42:26,99,33.5
20:42:27,99,33.5
20:42:28,98,33.5
20:42:29,99,33.5
20:42:30,98,33.5
20:42:31,99,33.5
20:42:32,98,33.5
20:42:33,98,33.5
20:42:34,99,33.5
20:42:35,99,33.5
20:42:36,97,33.5
20:42:37,99,33.5
20:42:38,99,33.5
20:42:39,97,33.5
20:42:40,99,33.5
20:42:41,99,33.5
20:42:42,99,33.5
20:42:43,99,33.5
20:42:44,97,33.5
20:42:45,99,33.5
20:42:46,99.9,33.5
20:42:47,98,33.5
20:42:48,98,33.5
20:42:49,98,33.5
20:42:50,99,33.5
20:42:51,98,33.5
20:42:52,98,33.2
20:42:53,99,33.2
20:42:54,99,33.2
20:42:55,98,33.2
20:42:56,98,33.2
20:42:57,99,33.2
20:42:58,98,33.2
20:42:59,99,33.2
20:43:00,97,33.2
20:43:01,99.9,33.2
20:43:02,98,33.2
20:43:03,98,33.2
20:43:04,99.9,33.2
20:43:05,97,33.2
20:43:06,8,33.2
20:43:07,92,33.4
20:43:08,98,33.4
20:43:09,99.9,33.4
20:43:10,99.9,33.4
20:43:11,99,33.4
20:43:12,99,34
20:43:13,99.9,34
20:43:14,99,34
20:43:15,96,34
20:43:16,99,32.8
20:43:17,98,32.8
20:43:18,98,32.8
20:43:19,98,32.8
20:43:20,87,32.8
20:43:21,99,32.9
