time, cpu%, mem%
20:39:35,15,0.6
20:39:36,14,0.6
20:39:37,17,0.6
20:39:38,17.8,0.6
20:39:39,14,0.6
20:39:40,19,0.6
20:39:41,13,0.6
20:39:42,10,0.6
20:39:43,10,0.6
20:39:44,10.9,0.6
20:39:45,11,0.6
20:39:46,13,0.6
20:39:47,14,0.6
20:39:48,5,0.6
20:39:49,0,0.6
20:39:50,9,0.6
20:39:51,10.9,0.6
20:39:52,13,0.6
20:39:53,11,0.6
20:39:54,9,0.6
20:39:55,12,0.6
20:39:56,8,0.6
20:39:57,12,0.6
20:39:58,9.9,0.6
20:39:59,11,0.6
20:40:00,10,0.6
20:40:01,12,0.6
20:40:02,11,0.6
20:40:03,6,0.6
20:40:04,0,0.6
20:40:05,5,0.6
20:40:06,12,0.6
20:40:07,12,0.6
20:40:08,8,0.6
20:40:09,9,0.6
20:40:10,11,0.6
20:40:11,10,0.6
20:40:12,10.9,0.6
20:40:13,11,0.6
20:40:14,12,0.6
20:40:15,10,0.6
20:40:16,9,0.6
20:40:17,0,0.6
20:40:19,0,0.6
20:40:20,5,0.6
20:40:21,4,0.6
20:40:22,3,0.6
20:40:23,1,0.6
20:40:24,2,0.6
20:40:25,1,0.6
20:40:26,2,0.6
20:40:27,2,0.6
20:40:28,1,0.6
20:40:29,2,0.6
20:40:30,0,0.6
20:40:31,1,0.6
20:40:32,0,0.6
20:40:33,0,0.6
20:40:34,0,0.6
20:40:35,0,0.6
20:40:36,0,0.6
20:40:37,2,0.6
20:40:38,5,0.6
20:40:39,2,0.7
20:40:40,4,0.7
20:40:41,2,0.7
20:40:42,3,0.7
20:40:43,4,0.7
20:40:44,2,0.7
20:40:45,3,0.7
20:40:46,2,0.7
20:40:47,3,0.7
20:40:48,3,0.7
20:40:49,3,0.7
20:40:50,4,0.7
20:40:51,3,0.7
20:40:52,2,0.7
20:40:53,3,0.7
20:40:54,5,0.7
20:40:55,3,0.7
20:40:56,3,0.7
20:40:57,3,0.7
20:40:58,3,0.7
20:40:59,0,0.7
20:41:00,0,0.7
20:41:01,0,0.7
20:41:02,0,0.7
20:41:03,0,0.7
20:41:04,0,0.7
20:41:05,0,0.7
20:41:06,0,0.7
20:41:07,1,0.7
20:41:08,4,0.7
20:41:09,10,0.6
20:41:10,10.9,0.6
20:41:11,7,0.6
20:41:12,12,0.6
20:41:13,9,0.6
20:41:14,12,0.6
20:41:15,9,0.6
20:41:16,12,0.6
20:41:17,10,0.6
20:41:18,9.9,0.6
20:41:19,9,0.6
20:41:20,11,0.6
20:41:21,12,0.6
20:41:22,12,0.6
20:41:23,11,0.6
20:41:24,13,0.6
20:41:25,9.9,0.6
20:41:26,10,0.6
20:41:27,11,0.6
20:41:28,13,0.6
20:41:29,12,0.6
20:41:30,12,0.6
20:41:31,11,0.6
20:41:32,12,0.6
20:41:33,11,0.6
20:41:34,8.9,0.6
20:41:35,12,0.6
20:41:36,12,0.6
20:41:37,11,0.6
20:41:38,10,0.6
20:41:39,11,0.6
20:41:40,11,0.6
20:41:41,9,0.6
20:41:42,10.9,0.6
20:41:43,9,0.6
20:41:44,8,0.6
20:41:45,11,0.6
20:41:46,9,0.6
20:41:47,11,0.6
20:41:48,11,0.6
20:41:49,11,0.6
20:41:50,11.9,0.6
20:41:51,11,0.6
20:41:52,10,0.6
20:41:53,9,0.6
20:41:54,13,0.6
20:41:55,11,0.6
20:41:56,12,0.6
20:41:57,9,0.6
20:41:58,10,0.6
20:41:59,12.9,0.6
20:42:00,9,0.6
20:42:01,13,0.6
20:42:02,12,0.6
20:42:03,10,0.6
20:42:04,12,0.6
20:42:05,10,0.6
20:42:06,13,0.6
20:42:07,11.9,0.6
20:42:08,11,0.6
20:42:09,11,0.6
20:42:10,11,0.6
20:42:11,9,0.6
20:42:12,14,0.6
20:42:13,11,0.6
20:42:14,10,0.6
20:42:15,9.9,0.6
20:42:16,13,0.6
20:42:17,9,0.6
20:42:18,10,0.6
20:42:19,13,0.6
20:42:20,11,0.6
20:42:21,11,0.6
20:42:22,12,0.6
20:42:23,9.9,0.6
20:42:24,9,0.6
20:42:25,11,0.6
20:42:26,11,0.6
20:42:27,13,0.6
20:42:28,10,0.6
20:42:29,13,0.6
20:42:30,13,0.6
20:42:31,10.9,0.6
20:42:32,10,0.6
20:42:33,12,0.6
20:42:34,9,0.6
20:42:35,9,0.6
20:42:36,10,0.6
20:42:37,12,0.6
20:42:38,8,0.6
20:42:39,9.9,0.6
20:42:40,12,0.6
20:42:41,10,0.6
20:42:42,11,0.6
20:42:43,12,0.6
20:42:44,12,0.6
20:42:45,11,0.6
20:42:46,9,0.6
20:42:47,10,0.6
20:42:48,10.9,0.6
20:42:49,11,0.6
20:42:50,16,0.6
20:42:51,10,0.6
20:42:52,6,0.6
20:42:53,10,0.6
20:42:54,10,0.6
20:42:55,11,0.6
20:42:56,10.9,0.6
20:42:57,12,0.6
20:42:58,12,0.6
20:42:59,11,0.6
20:43:00,11,0.6
20:43:01,11,0.6
20:43:02,12,0.6
20:43:03,11,0.6
20:43:04,12.9,0.6
20:43:05,12,0.6
20:43:06,10,0.6
20:43:07,0,0.6
20:43:08,0,0.6
20:43:09,0,0.6
20:43:10,0,0.6
20:43:11,0,0.6
20:43:12,0,0.6
20:43:13,0,0.6
20:43:14,0,0.6
20:43:15,2,0.6
20:43:16,5,0.6
20:43:17,10,0.6
20:43:18,9,0.6
20:43:19,12,0.6
20:43:20,9,0.6
20:43:21,11,0.6
20:43:22,9.9,0.6
20:43:23,11,0.6
20:43:24,11,0.6
20:43:25,11,0.6
20:43:26,8,0.6
20:43:27,10,0.6
20:43:28,10,0.6
20:43:29,10,0.6
20:43:30,11,0.6
20:43:31,10.9,0.6
20:43:32,10,0.6
20:43:33,11,0.6
20:43:34,10,0.6
20:43:35,9,0.6
20:43:36,8,0.6
20:43:37,9,0.6
20:43:38,9,0.6
20:43:39,10.9,0.6
20:43:40,11,0.6
20:43:41,9,0.6
20:43:42,9,0.6
20:43:43,11,0.6
20:43:44,12,0.6
20:43:45,10,0.6
20:43:46,12,0.6
20:43:47,10,0.6
20:43:48,10.9,0.6
20:43:49,8,0.6
20:43:50,11,0.6
20:43:51,8,0.6
20:43:52,8,0.6
20:43:53,10,0.6
20:43:54,11,0.6
20:43:55,11,0.6
20:43:56,9.9,0.6
20:43:57,11,0.6
20:43:58,11,0.6
20:43:59,13,0.6
20:44:00,10,0.6
20:44:01,10,0.6
20:44:02,11,0.6
20:44:03,11,0.6
20:44:04,11,0.6
20:44:05,10.9,0.6
20:44:06,12,0.6
20:44:07,11,0.6
20:44:08,9,0.6
20:44:09,10,0.6
20:44:10,11,0.6
20:44:11,10,0.6
20:44:12,13,0.6
20:44:13,10.9,0.6
20:44:14,10,0.6
20:44:15,12,0.6
20:44:16,9,0.6
20:44:17,14,0.6
20:44:18,10,0.6
20:44:19,10,0.6
20:44:20,12,0.6
20:44:21,10.9,0.6
20:44:22,11,0.6
20:44:23,8,0.6
20:44:24,11,0.6
20:44:25,10,0.6
20:44:26,10,0.6
20:44:27,10,0.6
20:44:28,10,0.6
20:44:29,11,0.6
20:44:30,7.9,0.6
20:44:31,12,0.6
20:44:32,10,0.6
20:44:33,12,0.6
20:44:34,11,0.6
20:44:35,13,0.6
20:44:36,11,0.6
20:44:37,11.9,0.6
20:44:38,12,0.6
20:44:39,9,0.6
20:44:40,8,0.6
20:44:41,9,0.6
20:44:42,9,0.6
20:44:43,11,0.6
20:44:44,9,0.6
20:44:45,13,0.6
20:44:46,11.9,0.6
20:44:47,13,0.6
20:44:48,9,0.6
20:44:49,12,0.6
20:44:50,10,0.6
20:44:51,10,0.6
20:44:52,11,0.6
20:44:53,14,0.6
20:44:54,9.9,0.6
20:44:55,9,0.6
20:44:56,10,0.6
20:44:57,11,0.6
20:44:58,7,0.6
20:44:59,6,0.6
20:45:00,9,0.6
20:45:01,8,0.6
20:45:02,10.9,0.6
20:45:03,11,0.6
20:45:04,10,0.6
20:45:05,10,0.6
20:45:06,12,0.6
20:45:07,13,0.6
20:45:08,12,0.6
20:45:09,11,0.6
20:45:10,12.9,0.6
20:45:11,10,0.6
20:45:12,11,0.6
20:45:13,0,0.6
20:45:14,0,0.6
20:45:15,0,0.6
20:45:16,0,0.6
20:45:17,1,0.6
20:45:18,0,0.6
20:45:19,0,0.6
20:45:20,0,0.6
20:45:21,0,0.6
20:45:22,0,0.6
20:45:23,5,0.6
20:45:24,10,0.6
20:45:25,12,0.6
20:45:26,9,0.6
20:45:27,10,0.6
20:45:28,11,0.6
20:45:29,7.9,0.6
20:45:30,8,0.6
20:45:31,11,0.6
20:45:32,7,0.6
20:45:33,10,0.6
20:45:34,10,0.6
20:45:35,10,0.6
20:45:36,13,0.6
20:45:37,9.9,0.6
20:45:38,9,0.6
20:45:39,11,0.6
