"payloadSizeInByte","messagesPerSecond","dataGenerationInMs","executionInMs","allSentInMs","minLatency","maxLatency","totalLatency","avgLatency","totalSentMessages","totalReceivedMessages"
"36","10","13.039042000000336","10020.894251","10076.254418000002","6.574708000000101","49.81949999999961","836.90658299998","8.3690658299998","100","100"
"128","10","15.556415999999444","10002.690001000003","10011.936501","6.410374999999476","52.41874999999709","810.6221240000086","8.106221240000087","100","100"
"512","10","15.802915999996912","10001.160543000002","10015.525376000001","6.371624999999767","50.701082999999926","850.352258999992","8.503522589999921","100","100"
"1024","10","19.66454099999828","10001.095250999999","10006.331334000002","6.117500000000291","50.27516699999978","754.1991319999797","7.541991319999798","100","100"
"36","50","24.056625000004715","10001.023793","10083.937168000004","16.879500000002736","69.94425000000047","13379.540369999915","26.75908073999983","500","500"
"128","50","53.32929100000183","10000.996918000004","10086.182042999993","15.493332999998529","76.57283399999869","12694.663722000041","25.38932744400008","500","500"
"512","50","77.8384580000129","10001.062291999988","10085.057416999989","17.861458999992465","73.71579099999508","12789.426372000016","25.57885274400003","500","500"
"1024","50","144.65512499999022","10000.834209000008","10045.041543","13.09483299999556","93.765625","12811.10069700006","25.62220139400012","500","500"
"36","100","25.415584000002127","10000.648834000007","10052.421959","8.451167000006535","58.22850000001199","14673.135207999934","14.673135207999934","1000","1000"
"128","100","75.04612599998654","10001.32995900001","10094.750709","8.327957999994396","55.3758339999913","14487.890811999765","14.487890811999765","1000","1000"
"512","100","106.16183399999863","10000.736208999995","10092.878083999996","7.713083000009647","46.37541599999531","14096.592237000033","14.096592237000033","1000","1000"
"1024","100","157.27716700000747","10000.772666999997","10093.37554199998","8.197041999999783","48.532875000004424","14529.275452000249","14.529275452000249","1000","1000"
"36","500","124.88804200000595","18646.243042999995","18709.795501999994","9.295958000002429","89.09512499999255","54418.39935700109","10.883679871400219","5000","5000"
"128","500","452.50862500001676","18436.978794000024","18498.674044000014","9.643958000000566","58.85450000001583","53912.131864000025","10.782426372800005","5000","5000"
"512","500","571.0934579999885","18329.13679399999","18388.613377","8.687915999995312","48.90616700000828","53774.0972229997","10.75481944459994","5000","5000"
"1024","500","826.193958000018","19774.365752000012","19836.91596099999","10.529915999999503","108.69833300000755","58016.73904500023","11.603347809000045","5000","5000"
"36","1000","369.14233299999614","34420.545671","34480.23908700002","8.38554099999601","48.09995900001377","100808.1525899992","10.08081525899992","10000","10000"
"128","1000","756.9376659999834","36092.691588000016","36153.00975400003","7.999041000002762","101.06862500001444","105511.71749899696","10.551171749899696","10000","10000"
"512","1000","1197.1938749999972","38623.093338000006","38684.572338","10.016457999998238","90.27391699998407","113049.44364499848","11.304944364499848","10000","10000"
"1024","1000","1730.0852089999826","39477.565296999994","39540.325505000015","10.525040999986231","104.51216699997894","115854.1474939984","11.58541474939984","10000","10000"
"36","5000","1427.3612089999951","172260.69656200003","172324.73343700002","8.103375000006054","93.22783399996115","504418.850926001","10.088377018520019","50000","50000"
"128","5000","4067.837751000072","176569.08143799996","176629.41960399994","9.466167000005953","108.08408399997279","517363.5872569969","10.347271745139938","50000","50000"
"512","5000","6289.436126000015","187694.59093900002","187755.806522","9.875999999931082","125.66062500001863","549927.1862559804","10.998543725119609","50000","50000"
"1024","5000","9012.552626000019","197191.32344100007","197255.4597319999","10.538500000024214","118.0140830000164","578562.8521829876","11.571257043659752","50000","50000"
"36","10000","3829.911291999975","344765.7736249999","344829.5257919999","9.142166000092402","241.2913750000298","1008951.9997170083","10.089519997170083","100000","100000"
"128","10000","9451.041542999912","354690.837209","354752.7909589999","9.290499999886379","158.65100000007078","1038250.2127820111","10.38250212782011","100000","100000"
"512","10000","13929.314501000103","371891.1186690002","371955.6381280001","9.965749999973923","166.10887499991804","1089748.9354580129","10.897489354580129","100000","100000"
"1024","10000","22196.478170000017","391754.08767100004","391816.52496299986","9.944417000282556","116.48975000018254","1149690.1459310437","11.496901459310436","100000","100000"
